編號,行政區,廠商名稱〈市招〉,所屬單位,經營主體,市話,分機,行動電話,地址,經度,緯度,備註,
180,中正,P平方 P Square Training Studio,私立,傑瑞運動整合有限公司,,,0926001401,臺北市中正區汀洲路三段61號1樓,121.5281,25.0181,健身房,
181,中正,World Gym 健身俱樂部公館店,私立,香港商世界健身事業有限公司公館分公司,(02)23660202,,,臺北市中正區羅斯福路四段68號2樓,121.5342,25.0145,健身房,
182,中正,World Gym 健身俱樂部台北站前店,私立,香港商世界健身事業有限公司台北分公司,(02)23117000,,,臺北市中正區忠孝西路一段50號6樓,121.5158,25.0463,健身房,
183,中正,中正運動中心,體育局,舞動陽光有限公司中正營業所,(02)33225016,,,臺北市中正區信義路一段1號,121.5167,25.0385,健身房,
184,中正,好時光女生運動樂園,私立,好時光創意生活有限公司,(02)23512878,,,臺北市中正區南昌路二段53號1樓,121.5202,25.0276,健身房,
185,中正,成功高中運動中心,教育局,舞動陽光股份有限公司成功營業所,(02)23218222,,,臺北市中正區濟南路一段71號 ,121.5237,25.0424,健身房,
186,中正,虎鐵健身工作室,私立,七樂健身有限公司,,,0953042067,臺北市中正區館前路34號3樓,121.5148,25.0446,健身房,
187,中正,原點肌力體能訓練,私立,豐鑠體能有限公司,,,0973136997,臺北市中正區羅斯福路三段140巷2之3號1樓,121.5283,25.0197,健身房,
188,中正,尋動率 Searchannel,私立,尋動率有限公司,(02)23672295,,,臺北市中正區廈門街75之1號1樓,121.5174,25.0247,健身房,
189,中正,運動旅程,私立,瘋旅程有限公司公館分公司,(02)66173329,,,臺北市中正區羅斯福路三段272號7樓,121.5318,25.0168,健身房,
190,中正,鴻鑫運動企業社,私立,鴻鑫運動企業社,,,0938633195,臺北市中正區忠孝東路一段15號3樓,121.5241,25.0448,健身房,
191,中正,波克萊體能,私立,波克萊體能顧問有限公司,(02)23587771,,,臺北市中正區金山南路一段65號1樓,121.5283,25.0378,健身房,
192,中正,ISPORTS 愛健身俱樂部,私立,愛健身股份有限公司,(02)23939933,,,臺北市中正區仁愛路一段38號1樓,121.5229,25.0384,健身房,
193,中正,Functional Patterns 台灣台北台大店,私立,加減健康管理顧問有限公司台北台大店分公司,(02)23620999,,,臺北市中正區羅斯福路三段150號1樓,121.5286,25.0200,健身房,
194,內湖,Curves 內湖成功店,私立,馳洋有限公司,(02)27948659,,,臺北市內湖區成功路四段34號2樓,121.5917,25.0818,健身房,
195,內湖,Curves 內湖西湖店,私立,馳洋有限公司西湖分公司,(02)26276550,,,臺北市內湖區內湖路一段360巷15號7樓之4,121.5707,25.0809,健身房,
196,內湖,Curves 內湖東湖店,私立,奕揚國際有限公司,(02)26310798,,,臺北市內湖區東湖路33巷17號1樓,121.6131,25.0698,健身房,
197,內湖,DREAM FiT 夢啟動健身運動會館,私立,夢啟動健身事業有限公司,(02)87518578,,,臺北市內湖區內湖路一段118號1樓,121.5632,25.0832,健身房,
198,內湖,F45 Training 內湖店,私立,億勁達股份有限公司,,,0933669997,臺北市內湖區瑞光路578號1樓,121.5664,25.0800,健身房,
199,內湖,FITLAB 健身試驗所,私立,斜槓人生實業有限公司,(02)26316495,,,臺北市內湖區東湖路126號2樓,121.6164,25.0680,健身房,
200,內湖,FMC fitness 健身空間,私立,模範體能實業社,(02)26341917,,,臺北市內湖區東湖路11號2樓,121.6127,25.0689,健身房,
201,內湖,Hypercore Fitness 超核心健身中心台北內湖成功館,私立,香港商宇曦健康顧問有限公司台灣分公司內湖成功門市,(02)77463899,,,臺北市內湖區成功路四段168號地下2樓,121.5930,25.0832,健身房,
202,內湖,Letsgo 來運動健身俱樂部,私立,飛躍運動館,(02)27945385,,,臺北市內湖區成功路四段50號2樓之1,121.5921,25.0822,健身房,
203,內湖,NIFEI FITNESS,私立,妮飛體適能事業股份有限公司,(02)26270896,,,臺北市內湖區瑞湖街99號1樓,121.5761,25.0735,健身房,
204,內湖,TOP JUN FITNESS,私立,上竣運動有限公司,,,0925333486,臺北市內湖區成功路三段141號3樓,121.5899,25.0795,健身房,
205,內湖,UFC GYM 內科模範館,私立,冠競健康事業股份有限公司,(02)27996666,,,臺北市內湖區洲子街55號1樓,121.5735,25.0793,健身房,
206,內湖,World Gym 健身俱樂部內湖店,私立,香港商世界健身事業有限公司內湖分公司,(02)26345488,,,臺北市內湖區康寧路三段72號8樓,121.6112,25.0702,健身房,
207,內湖,World Gym 健身俱樂部內湖港墘店,私立,香港商世界健身事業有限公司內湖港墘分公司,(02)26586222,,,臺北市內湖區港墘路221巷33號3樓,121.5746,25.0738,健身房,
208,內湖,World Gym 健身俱樂部內湖福華店,私立,香港商世界健身事業有限公司內湖民權分公司 ,(02)27905522,,,臺北市內湖區民權東路六段180巷6號地下2樓,121.5926,25.0681,健身房,
209,內湖,YOUTH Fitness & Yoga 內科瑞光館,私立,優勢開發管理顧問公司,(02)87733833,,,臺北市內湖區瑞光路550號1樓,121.5670,25.0797,健身房,
210,內湖,三健客 3musclers內湖店,私立,三健客體能顧問工作室,(02)87511915,,,臺北市內湖區港華街18號1樓,121.5773,25.0822,健身房,
211,內湖,大湖公園游泳池附設健身房,體育局,星哲企業股份有限公司大湖分公司,(02)87911698,,,臺北市內湖區成功路五段31號,121.6039,25.0828,健身房,
212,內湖,內湖運動中心,體育局,中國青年救國團臺北市內湖運動中心,(02)26562869,,,臺北市內湖區洲子街12號,121.5721,25.0781,健身房,
213,內湖,日心健身 ,私立,四季健⾝股份有限公司內湖分公司,(02)2794 8836 ,,,臺北市內湖區民權東路六段56巷17號1樓 ,121.5854,25.0675,健身房,
214,內湖,正能量 FITNESS,私立,普瑞特斯有限公司,(02)87972666,,,臺北市內湖區內湖路一段322號2樓,121.5701,25.0815,健身房,
215,內湖,W.B.F Fitness,私立,鍛峯運動工作室,,,0987815936,臺北市內湖區民權東路六段56巷1弄4號1樓,121.5848,25.0685,健身房,
216,內湖,舞動陽光南湖高中運動中心,教育局,舞動陽光有限公司內湖營業所,(02)26341717,,,臺北市內湖區康寧路三段220號,121.6110,25.0669,健身房,
217,內湖,愛健康肌力教室,私立,愛健康肌力有限公司,(02)26585276,,,臺北市內湖區內湖路二段73號1樓,121.5823,25.0797,健身房,
218,內湖,葫蘆洲運動公園,環保局,臺北市政府環境保護局內湖垃圾焚化廠,(02)27961833,362,,臺北市內湖區安康路290號,121.6034,25.0627,健身房,
219,內湖,臺北市網球中心附設健身房,體育局,匯陽百貨事業股份有限公司臺北市網球中心分公司,(02)27951166,,,臺北市內湖區民權東路六段208號,121.5966,25.0676,健身房,
220,內湖,練一下 GYMCUBE,私立,鑫琞體能股份有限公司,(02)27906068,,,臺北市內湖區成功路三段145號地下1樓,121.5900,25.0796,健身房,
221,內湖,練一下 GYMCUBE 文德店,私立,曌躍股份有限公司,(02)27996667,,,臺北市內湖區文德路108號地下1樓,121.5831,25.0783,健身房,
222,內湖,轉捩點健康工作室 (H.F.P STUDIO),私立,轉捩點健康工作室,,,0912274695,臺北市內湖區內湖路二段395號2樓,121.5928,25.0841,健身房,
223,內湖,內湖力康運動醫學/運動表現中心,私立,力康健康事業股份有限公司,(02)26586311,,,臺北市內湖區內湖路一段356號2樓,121.5705,25.0814,健身房,
224,內湖,珕體能工作室,私立,珕體能有限公司,(02)26349858,,,臺北市內湖區成功路五段79號1樓,121.6055,25.0740,健身房,
225,內湖,沛力訓練,私立,沛力訓練有限公司,(02)27985277,,,臺北市內湖區瑞光路443號1樓,121.5709,25.0789,健身房,
226,文山,Curves 文山保儀店,私立,喜禾有限公司,(02)77538628,,,臺北市文山區保儀路11號4樓之1,121.5686,24.9885,健身房,
227,文山,Curves 景美店,私立,好享瘦國際有限公司,(02)29315118,,,臺北市文山區景文街46之1號3樓,121.5412,24.9913,健身房,
228,文山,Dream Fit 拳適能健身館,私立,拳適能館,,,0956353696,臺北市文山區景美街1之4號1樓,121.5417,24.9941,健身房,
229,文山,IN GYM 樂康健身俱樂部,私立,承新國際管理顧問股份有限公司文山分公司,(02)86632618,,,臺北市文山區景隆街36巷2號2樓,121.5434,24.9986,健身房,
230,文山,More fit 萬芳店,私立,摩爾菲特健康顧問有限公司,(02)86632713,,,臺北市文山區興隆路三段71號地下1樓,121.5563,25.0001,健身房,
231,文山,文山運動中心,體育局,中國青年救國團臺北市文山運動中心,(02)22308268,,,臺北市文山區興隆路三段222號,121.5589,24.9970,健身房,
232,文山,有道 Fitness Way,私立,有道工作室,,,0952914787,臺北市文山區木柵路三段48巷1弄7號1樓,121.5649,24.9877,健身房,
233,文山,芳鄰健身 Family Gym 景美店,私立,芳鄰健身事業有限公司,(02)29333339,,,臺北市文山區羅斯福路六段130號地下1樓,121.5403,24.9970,健身房,
234,文山,威利體 Well Fitness,私立,威利體有限公司,(02)29300737,,,臺北市文山區景文街41號2樓,121.5414,24.9920,健身房,
235,文山,真適能運動俱樂部,私立,宇妍有限公司,(02)22345630,,,臺北市文山區木柵路三段77號10樓,121.5671,24.9887,健身房,
236,文山,健身工廠台北萬隆場廠,私立,柏文健康事業股份有限公司台北萬隆分公司 ,,,0970174515,臺北市文山區興隆路一段15號2樓,121.5403,25.0042,健身房,
237,文山,博嘉運動公園游泳池附設健身房,環保局,咖啡櫻有限公司,(02)22395494,,,臺北市文山區木柵路四段159巷16號,121.5755,25.0010,健身房,
238,文山,景美游泳池(運動教室),體育局,中國青年救國團臺北市景美游泳池,(02)29353602,,,臺北市文山區羅斯福路五段176巷50號1樓,121.5365,25.0039,健身房,
239,文山,焠齡運動空間,私立,立緁有限公司,,,0955927768,臺北市文山區景興路59號,121.5448,24.9966,健身房,
240,文山,運動學 Fitology,私立,全球動競健康有限公司,(02)29315887,,,臺北市文山區興隆路二段252號地下1樓,121.5542,25.0006,健身房,
241,文山,瘋動健身工作室 Hive fitness,私立,喬傑瑞國際有限公司,(02)22346334,,,臺北市文山區興隆路四段54之8號1樓,121.5610,24.9858,健身房,
242,文山,萬隆力康運動醫學運動表現中心,私立,力康健康事業股份有限公司萬隆門市,(02)89319733,,,臺北市文山區羅斯福路五段127號1樓,121.5390,25.0047,健身房,
243,文山,拳勁生身活運動空間,私立,拳勁皇朝運動空間館,,,0981555223,臺北市文山區育英街79號1樓,121.5388,24.9926,健身房,
244,文山,JF Fitness,私立,德義工作室,,,0935922572,臺北市文山區仙岩路7號1樓,121.5479,24.9985,健身房,
245,文山,World Gym 健身俱樂部景美店,私立,香港商世界健身事業有限公司台北景美分公司,(02)29302222,,,臺北市文山區景後街95號2樓,121.5429,24.9919,健身房,
246,文山,煦陽適能空間 SUNRISE FITNESS STUDIO,私立,日初健康工作坊,(02)29300290,,,臺北市文山區汀州路四段173號1樓,121.5357,25.0045,健身房,
247,文山,Powerbank 運動教室,私立,肌吉有限公司,,,0986201598,臺北市文山區辛亥路五段35號1樓,121.5540,24.9994,健身房,
248,文山,BELIEF_IT 運動工作室,私立,相信順成有限公司,(02)22309008,,,臺北市文山區和平東路四段389號1樓,121.5742,24.9990,健身房,
249,文山,World Gym 健身俱樂部木柵店,私立,香港商世界健身事業有限公司台北木柵分公司,(02)22346888,,,臺北市文山區木柵路三段96號地下1樓,121.5671,24.9885,健身房,
250,北投,CHANGE fitness 轉化訓練空間,私立,轉化訓練空間工作室 ,,,0918636966,臺北市北投區中和街240號1樓 ,121.5013,25.1395,健身房,
251,北投,Curves 北投店,私立,豐好健康事業有限公司,(02)28936585,,,臺北市北投區磺港路8號4樓,121.5020,25.1332,健身房,
252,北投,Curves 石牌店,私立,喬菲立有限公司,(02)28200250,,,臺北市北投區裕民一路30號2樓,121.5170,25.1165,健身房,
253,北投,FITNESS FORMULA 專屬健議,私立,專屬健議有限公司,(02)28213120,,,臺北市北投區明德路11號1樓,121.5171,25.1069,健身房,
254,北投,FLYING STRONG 飛健身合作社,私立,飛創意健身股份有限公司,(02)28988655,,,臺北市北投區永興路一段32巷3弄14號1樓,121.5006,25.1384,健身房,
255,北投,Hamer Fitness,私立,眾鎚健康事業有限公司,,,0939122267,臺北市北投區東華街二段6號2樓,121.5149,25.1158,健身房,
256,北投,Nathan Fitness Studio 耐森健身工作室,私立,耐森健身工作室,,,0911896552,臺北市北投區三合街二段435號1樓 ,121.5024,25.1265,健身房,
257,北投,RISE 健身工作室,私立,萊斯健康事業有限公司,(02)28288806,,,臺北市北投區文林北路166巷1號2樓,121.5160,25.1068,健身房,
258,北投,World Gym 健身俱樂部北投中和店,私立,香港商世界健身事業有限公司北投中和分公司,(02)28922299,,,臺北市北投區中和街366號之1號1樓,121.4994,25.1416,健身房,
259,北投,北投垃圾焚化廠回饋設施附設健身房,環保局,咖啡櫻有限公司,(02)28360050,,,臺北市北投區洲美街271號,121.4991,25.1087,健身房,
260,北投,北投運動中心,體育局,建中工程股份有限公司北投分公司,(02)28202880,,,臺北市北投區石牌路一段39巷100號,121.5072,25.1165,健身房,
261,北投,台北市中華基督教青年會YMCA唭哩岸會館,私立,財團法人台北市中華基督教青年會唭哩岸會館,(02)28227070,,,臺北市北投區承德路七段312號,121.5046,25.1171,健身房,
262,北投,超力達工作室,私立,超力達工作室,,,0913299211,臺北市北投區大同街137號1樓,121.4985,25.1350,健身房,
263,北投,健身工廠石牌廠,私立,柏文健康事業股份有限公司台北石牌分公司,(02)28200777,,,臺北市北投區裕民六路2號地下1樓,121.5171,25.1134,健身房,
264,北投,CHILI SPACE 栖里健身俱樂部,私立,栖里健身事業股份有限公司,(02)28234961,,,臺北市北投區公舘路427號一樓,121.5029,25.1323,健身房,
265,北投,臺北捷運公司北投會館,公立,臺北大眾捷運股份有限公司,(02)28930105,8320,,臺北市北投區大業路527巷88號,121.4838,25.1349,健身房,
266,北投,維京健身工作室,私立,鉅翰實業有限公司,,,0929018883,臺北市北投區義理街81號1樓,121.5158,25.1181,健身房,
267,北投,天母力康運動醫學/運動表現中心,私立,力康健康事業股份有限公司天母門市,(02)28218599,,,臺北市北投區明德路365號3樓,121.5214,25.1176,健身房,
268,北投,CAMP 訓練營地,私立,昱昂有限公司,(02)28931300,,,臺北市北投區中央南路二段5號2樓,121.5005,25.1260,健身房,
269,松山,Beyond Fitness,私立,超越體能顧問有限公司,(02)27152733,,,臺北市松山區南京東路四段17號地下1樓,121.5500,25.0519,健身房,
270,松山,BLITZ,私立,銘耀企業社,,,0953315867,臺北市松山區光復北路129號地下1樓,121.5571,25.0525,健身房,
271,松山,Curves 民生圓環店,私立,右騰實業有限公司民生營業所,(02)27666866,,,臺北市松山區富錦街505號1樓,121.5642,25.0611,健身房,
272,松山,Curves 松山店,私立,雍容華國際有限公司,(02)27483117,,,臺北市松山區八德路四段666號4樓,121.5760,25.0498,健身房,
273,松山,Curves 南京三民店,私立,凱睿健康事業有限公司,(02)27483316,,,臺北市松山區南京東路五段202號3樓之5,121.5646,25.0511,健身房,
274,松山,Curves 南京小巨蛋店,私立,優曲線國際有限公司松山分公司,(02)25798181,,,臺北市松山區南京東路四段50號4樓之2,121.5534,25.0514,健身房,
275,松山,Curves 復興民權店,私立,貝拉拉有限公司,(02)25093303,,,臺北市松山區復興北路331號2樓,121.5443,25.0596,健身房,
276,松山,ENERGYM,私立,森蒲有限公司,(02)37651375,,,臺北市松山區南京東路五段123巷1弄4號1樓,121.5605,25.052,健身房,
277,松山,Fitness Hub ,私立,輝沃得國際有限公司 ,,,0975921520,臺北市松山區南京東路四段130號地下1樓,121.5556,25.0513,健身房,
278,松山,Force Fitness 小巨蛋店,私立,原力健康事業股份有限公司,(02)25770838,,,臺北市松山區八德路三段120號2樓,121.5540,25.0480,健身房,
279,松山,GYMEFIT,私立,藍青實業有限公司,(02)27479723,,,臺北市松山區健康路227號1樓,121.5626,25.0543,健身房,
280,松山,Joysport 樂適能運動,私立,樂適能健康運動事業有限公司,(02)27666682,,,臺北市松山區民生東路五段206之8號1樓,121.5646,25.0586,健身房,
281,松山,Jungle 叢零體適能 ,私立,鼎勝健康興業有限公司,(02)27668966,,,臺北市松山區光復南路1號地下1樓,121.5579,25.0479,健身房,
282,松山,Giant.D Fitness,私立,巨仁運動休閒有限公司 ,,,0980202909,臺北市松山區南京東路四段51號2樓之1,121.5509,25.0519,健身房,
283,松山,moving on 超愛動,私立,超人運動事業有限公司,(02)27470287,,,臺北市松山區南京東路五段202號2樓,121.5646,25.0511,健身房,
284,松山,日心健身南京旗艦館,私立,鋒達有限公司司,(02)27123456,,,臺北市松山區南京東路五段176號1樓,121.5634,25.0511,健身房,
285,松山,RNA,私立,艾莎雷德體能顧問有限公司,,,0921226468,臺北市松山區南京東路五段62號2樓,121.5605,25.0512,健身房,
286,松山,To Do Fitness,私立,放手做有限公司,(02)27120081,,,臺北市松山區南京東路四段15號3樓之1,121.5499,25.0519,健身房,
287,松山,TRUE YOGA FITNESS 全真瑜珈健身台北小巨蛋館,私立,全真概念健康事業股份有限公司環亞分公司,(02)27161234,,,臺北市松山區南京東路四段2號1樓,121.5499,25.0513,健身房,
288,松山,唯爾運動 wellness,私立,唯欣健康股份有限公司,(02)27121115,,,臺北市松山區南京東路四段137號7樓,121.5552,25.0517,健身房,
289,松山,World Gym 民生圓環店,私立,香港商世界健身事業有限公司民生圓環分公司,(02)27563000,,,臺北市松山區民生東路五段196號地下1樓,121.5642,25.0586,健身房,
290,松山,World Gym 健身俱樂部民生店,私立,京庚健康世界股份有限公司民生分公司 ,(02)87128200,,,臺北市松山區民生東路三段156號地下1樓,121.5476,25.0574,健身房,
291,松山,World Gym 健身俱樂部南京店,私立,香港商世界健身事業有限公司南京分公司,(02)27669888,,,臺北市松山區南京東路五段196號1樓,121.5640,25.0511,健身房,
292,松山,Xjumping 68 跳床俱樂部南京店,私立,康綠企業社,(02)27679027,,,臺北市松山區南京東路五段268號3樓,121.5668,25.0511,健身房,
293,松山,YOUTH Fitness & Yoga 敦北南京館,私立,優勢開發管理顧問公司,(02)27126381,,,臺北市松山區敦化北路100號1樓,121.5485,25.0528,健身房,
294,松山,小肌吧,私立,健骨頭有限公司,,,0953264300,臺北市松山區八德路四段691號2樓,121.5764,25.0502,健身房,
295,松山,肌擊Office,私立,肌擊有限公司,,,0970132286,臺北市松山區民生東路五段204之2號,121.5647,25.0583,健身房,
296,松山,忠‧初我健身工作室,私立,忠初我有限公司,,,0983177009,臺北市松山區光復北路30號2樓,121.5576,25.0492,健身房,
297,松山,松山運動中心,體育局,匯陽百貨事業股份有限公司松山運動中心分公司,(02)77555058,,,臺北市松山區敦化北路1號,121.5478,25.0489,健身房,
298,松山,長庚生物科技股份有限公司健康中心暨身心靈轉化中心,私立,長庚生物科技股份有限公司健康中心暨身心靈轉化中心,(02)27122211,,,臺北市松山區民生東路四段54之3號1樓,121.5512,25.0577,健身房,
299,松山,阿基里斯 Fitness GYM,私立,紅誠股份有限公司,(02)25465778,,,臺北市松山區民生東路四段45號地下1樓,121.5500,25.0579,健身房,
300,松山,神拳阿凱 WORKOUTSPORTS,私立,窩糕運動事業有限公司,(02)27491991,,,臺北市松山區南京東路五段84號2樓,121.5613,25.0512,健身房,
301,松山,健身工廠健康場廠,私立,柏文健康事業股份有限公司台北健康分公司,(02)27627666,,,臺北市松山區健康路156號地下1樓,121.5573,25.0535,健身房,
302,松山,專注訓練運動空間,私立,祿翊健康事業有限公司,(02)27666671,,,臺北市松山區南京東路五段208號2樓,121.5649,25.0511,健身房,
303,松山,給力健身房,私立,給力健身有限公司,,,0910951461,臺北市松山區民生東路三段128號地下1樓,121.5459,25.0575,健身房,
304,松山,擊客基地 GeekBase,私立,擊客基地有限公司,(02)25472523,,,臺北市松山區復興北路369號地下1樓,121.5447,25.0624,健身房,
305,松山,KAT Know&Apply Training ,私立,博雅體能事業有限公司,(02)27656586,,,臺北市信義區永吉路302號地下一樓、地下一樓之1 ,121.5748,25.0453,健身房,
306,松山,Selfroom Workoutplace,私立,大立仕股份有限公司,(02)25281698,,,臺北市松山區民生東路四段129號1樓,121.5539,25.0583,健身房,
307,信義,Curves 北醫世貿店,私立,光鹽國際健康實業有限公司  ,(02)23459995,,,臺北市信義區莊敬路325巷60號3樓,121.5649,25.0290,健身房,
308,信義,Curves 市府永春店,私立,孚榮哥有限公司,(02)27566078,,,臺北市信義區忠孝東路五段259號3樓,121.5707,25.0411,健身房,
309,信義,F45 Training Xinyi,私立,新榮恩資產管理有限公司,,,0970121900,臺北市信義區信義路四段413號2樓,121.5590,25.0333,健身房,
310,信義,Functional Patterns 台灣台北信義店,私立,加減健康管理顧問有限公司台北信義分公司,(02)27470808,,,臺北市信義區基隆路一段135號1樓,121.5664,25.0440,健身房,
311,信義,GYMEFIT Ninja,私立,藍陽國際有限公司,(02)87878277,,,臺北市信義區基隆路一段25號1樓,121.5690,25.0483,健身房,
312,信義,Hypercore Fitness 超核心健身中心 台北忠孝市府館,私立,達新壯股份有限公司,(02)77464096,,,臺北市信義區基隆路一段200號地下2樓,121.5635,25.0401,健身房,
313,信義,KAT Fitness,私立,博俊體能事業有限公司,(02)27656586,,,臺北市信義區永吉路302號地下1樓,121.5748,25.0453,健身房,
314,信義,More fit 市府店,私立,摩爾菲特健康事業股份有限公司市府分公司,(02)27608881,,,臺北市信義區基隆路一段139號地下1層,121.5658,25.0430,健身房,
315,信義,RG Studio 越練越好體能學院,私立,越練越好運動事業有限公司,(02)27326387,,,臺北市信義區基隆路二段51號地下1樓,121.5585,25.0309,健身房,
316,信義,森運動工作室,私立,森運動有限公司,(02)27360557,,,臺北市信義區基隆路二段23號地下1樓,121.5590,25.0317,健身房,
317,信義,Switch on 妳的運動空間,私立,驅動創意股份有限公司,,,0933201394,臺北市信義區忠孝東路五段625號1樓,121.5792,25.0417,健身房,
318,信義,World Gym 健身俱樂部101店,私立,京庚健康世界股份有限公司101分公司,(02)81018018,,,臺北市信義區市府路45號6樓之2,121.5638,25.0340,健身房,
319,信義,World Gym 健身俱樂部松仁店,私立,香港商世界健身事業有限公司松仁分公司 ,(02)27299990,,,臺北市信義區松仁路277號,121.5698,25.0243,健身房,
320,信義,World Gym 健身俱樂部松隆店,私立,香港商世界健身事業有限公司松隆分公司,(02)27618822,,,臺北市信義區松隆路125號2樓,121.5718,25.0470,健身房,
321,信義,X-Revolution Fitness 極進化,私立,極進化運動事業有限公司,(02)27492565,,,臺北市信義區忠孝東路五段469號2樓,121.5772,25.0410,健身房,
322,信義,Ynot Fitness 何不相信健身房,私立,何不國際有限公司,(02)27586777,,,臺北市信義區信義路五段8巷15號14樓,121.5605,25.0323,健身房,
323,信義,平衡運動教室,私立,心平衡運動工作室,(02)27495287,,,臺北市信義區忠孝東路五段201號2樓,121.5696,25.0412,健身房,
324,信義,永春活力館,體育局,全越運動事業股份有限公司永春活力館,(02)27565819,,,臺北市信義區松山路342巷13號地下1樓,121.5771,25.0414,健身房,
325,信義,信義運動中心,體育局,全越運動事業股份有限公司信義運動中心,(02)87861911,114,,臺北市信義區松勤街100號,121.5667,25.0316,健身房,
326,信義,核心肌地,私立,國揚健康事業有限公司,(02)27267376,,,臺北市信義區松德路65號地下1樓,121.5766,25.0385,健身房,
327,信義,健身工廠台北信義廠,私立,柏鑫健康事業股份有限公司,(02)87861966,148,,臺北市信義區松壽路22號4樓,121.5677,25.0355,健身房,
328,信義,健身狂潮,私立,狂潮健身事業有限公司,,,0910393415,臺北市信義區信義路四段456號地下1樓,121.5582,25.0328,健身房,
329,信義,健身星球 Star Fitness,私立,星球健身股份有限公司,27208880,,,臺北市信義區光復南路549號1樓及547號地下1樓,121.5575,25.0315,健身房,
330,信義,健身銀行,私立,在一起運動工作室,,,0908110603,臺北市信義區忠孝東路五段423巷4弄16號1樓,121.5762,25.0412,健身房,
331,信義,體育客,私立,跨越體適能有限公司,(02)87326645,,,臺北市信義區和平東路三段333號地下1樓,121.5564,25.0210,健身房,
332,信義,體育客運動教室,私立,熱河體適能有限公司,(02)87326645,,,臺北市信義區富陽街90號1樓,121.5564,25.0211,健身房,
333,南港,Big Boss Sports Center 大老闆運動中心,私立,武展有限公司,(02)26548500,,,臺北市南港區舊莊街一段196號2樓,121.6220,25.0387,健身房,
334,南港,Forge 打鐵健身南港店,私立,打鐵健身股份有限公司台北南港分公司,(02)26510586,,,臺北市南港區興華路77號地下1樓,121.6061,25.0552,健身房,
335,南港,Hongtai Cross Fit,私立,風暴體適能股份有限公司,(02)27830321,,,臺北市南港區市民大道八段360號2樓,121.6083,25.0532,健身房,
336,南港,Jessica’s Fitness,私立,耶和華以樂有限公司,,,0988770718,臺北市南港區中南街140之5號1樓,121.6151,25.0519,健身房,
337,南港,TrueFitness 全真概念南港健身館,私立,全真概念健康事業股份有限公司南港分公司,(02)77028999,,,臺北市南港區經貿二路188號4樓,121.6149,25.0594,健身房,
338,南港,山豬窟游泳池附設健身房,環保局,樂霏翔有限公司,(02)26547412,,,臺北市南港區舊莊街一段290巷32號,121.6248,25.0340,健身房,
339,南港,中央研究院綜合體育館,中研院,中央研究院,(02)27852717,7328,,臺北市南港區研究院路二段128號,121.6166,25.0419,健身房,
340,南港,好享健身 Massive Fitness ,私立,好享健身有限公司 ,,,0976475366,臺北市南港區經貿二路235巷60弄2號1樓,121.6154,25.0621,健身房,
341,南港,成德國中運動中心,教育局,舞動陽光股份有限公司南港營業所,(02)27825000,,,臺北市南港區東新街108巷23號,121.5877,25.0450,健身房,
342,南港,前勁體能訓練中心,私立,維康生活股份有限公司,(02)27859791,,,臺北市南港區忠孝東路五段970號地下1樓,121.5822,25.0443,健身房,
343,南港,南港運動中心,體育局,中國青年救國團臺北市南港運動中心,(02)26532279,,,臺北市南港區玉成街69號,121.5816,25.0489,健身房,
344,南港,楓肌力 MP Health Fitness,私立,梧桐林工作室,(02)26277791,,,臺北市南港區富康街21號1樓,121.6173,25.0538,健身房,
345,南港,幾點練健身工坊,私立,幾點練健身工坊,,,0910955223,臺北市南港區忠孝東路六段5號1樓,121.5827,25.0457,健身房,
346,南港,WE Sport 健身房,私立,和怡商務旅館股份有限公司,(02)26539847,,,臺北市南港區重陽路122號B1,121.5999,25.0568,健身房,
347,萬華,Curves 西門漢中店,私立,佑英有限公司,(02)23612327,,,臺北市萬華區漢中街157號2樓,121.5071,25.0415,健身房,
348,萬華,Curves 青年公園店,私立,曲律國際有限公司,(02)23379090,,,臺北市萬華區青年路30巷2之3號1樓,121.5044,25.0261,健身房,
349,萬華,Liberate Training,私立,釋放體能工作室 ,,,0966591003,臺北市萬華區昆明街79號2樓之2,121.5048,25.0428,健身房,
350,萬華,World Gym 健身俱樂部西門店,私立,香港商世界健身事業有限公司西門分公司,(02)23889999,,,臺北市萬華區西寧南路36號地下1樓,121.5066,25.0456,健身房,
351,萬華,青年公園游泳池附設健身房,體育局,運博國際股份有限公司青年公園營業所,(02)23053800,,,臺北市萬華區水源路199號,21.5069,25.0220,健身房,
352,萬華,萬華運動中心 ,體育局,匯陽百貨事業股份有限公司萬華運動中心分公司,(02)23759900,,,臺北市萬華區西寧南路6之1號,121.5071,25.0475,健身房,
353,萬華,運動學 Fitology 西門,私立,全球動記健康有限公司,(02)23319777,,,臺北市萬華區漢口街二段73號地下1樓,121.5052,25.0461,健身房,
354,萬華,鳳凰體能訓練俱樂部,私立,泰迪保持傑有限公司,,,0933888664,臺北市萬華區柳州街31號1樓,121.5054,25.0386,健身房,
355,大安,DEN YOGA,私立,丹恩生活股份有限公司,,,0952226463,臺北市大安區忠孝東路四段48號8樓,121.5448,25.0414,瑜珈教室,
356,大安,上上瑜珈 YogaUp 忠孝館,私立,上上瑜珈工作室,(02)25630833,,,臺北市大安區忠孝東路三段136號7樓,121.5377,25.0415,瑜珈教室,
357,中山,Sujit-Sauryayoga 索莉雅太陽瑜珈,私立,索莉雅太陽瑜珈有限公司,(02)25215627,,,臺北市中山區松江路192號6樓,121.5328,25.0570,瑜珈教室,
